English,Dutch,French,Polish,Russian,Spanish,Swedish
a's,aan,alors,ach,?,un,aderton
able,af,au,aj,?,una,adertonde
about,al,aucuns,albo,?,unas,adjö
above,als,aussi,bardzo,?,unos,aldrig
according,bij,autre,bez,?,uno,alla
accordingly,dan,avant,bo,?,sobre,allas
across,dat,avec,by?,??,todo,allt
actually,die,avoir,ci,??,también,alltid
after,dit,bon,ci?,??,tras,alltså
afterwards,een,car,ciebie,??,otro,än
again,en,ce,co,??,algún,andra
against,er,cela,czy,??,alguno,andras
ain't,had,ces,daleko,???,alguna,annan
all,heb,ceux,dla,???,algunos,annat
allow,hem,chaque,dlaczego,???,algunas,ännu
allows,het,ci,dlatego,???,ser,artonde
almost,hij,comme,do,???,es,artonn
alone,hoe,comment,dobrze,???,soy,åtminstone
along,hun,dans,dok?d,????,eres,att
already,ik,des,do??,?????,somos,åtta
also,in,du,du?o,??????????????,sois,åttio
although,is,dedans,dwa,??????????????,estoy,åttionde
always,je,dehors,dwaj,??????????????,esta,åttonde
am,kan,depuis,dwie,??????????????,estamos,av
among,me,devrait,dwoje,????,estais,även
amongst,men,doit,dzi?,???,estan,båda
an,met,donc,dzisiaj,???,como,bådas
and,mij,dos,gdyby,?????,en,bakom
another,nog,début,gdzie,?????,para,bara
any,nu,elle,go,?????,atras,bäst
anybody,of,elles,ich,?????,porque,bättre
anyhow,ons,en,ile,???,por qué,behöva
anyone,ook,encore,im,???,estado,behövas
anything,te,essai,inny,???,estaba,behövde
anyway,tot,est,ja,????,ante,behövt
anyways,uit,et,j?,???,antes,beslut
anywhere,van,eu,jak,???,siendo,beslutat
apart,was,fait,jakby,???,ambos,beslutit
appear,wat,faites,jaki,???,pero,bland
appreciate,we,fois,je,???,por,blev
appropriate,wel,font,jeden,????,poder,bli
are,wij,hors,jedna,????,puede,blir
aren't,zal,ici,jedno,????,puedo,blivit
around,ze,il,jego,???????,podemos,bort
as,zei,ils,jej,?????,podeis,borta
aside,zij,je,jemu,??????,pueden,bra
ask,zo,juste,je?li,?????,fui,då
asking,zou,la,jest,???????,fue,dag
associated,,le,jestem,??????,fuimos,dagar
at,,les,je?eli,????,fueron,dagarna
available,,leur,ju?,????,hacer,dagen
away,,là,ka?dy,??????,hago,där
awfully,,ma,kiedy,???,hace,därför
be,,maintenant,kierunku,???????,hacemos,de
became,,mais,kto,????,haceis,del
because,,mes,ku,????,hacen,delen
become,,mine,lub,????,cada,dem
becomes,,moins,ma,????,fin,den
becoming,,mon,maj?,????,incluso,deras
been,,mot,mam,???????????,primero,dess
before,,même,mi,????????????,desde,det
beforehand,,ni,mn?,?????,conseguir,detta
behind,,nommés,mnie,????????,consigo,dig
being,,notre,moi,???????,consigue,din
believe,,nous,mój,?????????,consigues,dina
below,,ou,moja,????????,conseguimos,dit
beside,,où,moje,?????,consiguen,ditt
besides,,par,mo?e,?????,ir,dock
best,,parce,mu,????,voy,du
better,,pas,my,??????,va,efter
between,,peut,na,??????,vamos,eftersom
beyond,,peu,nam,??????????,vais,elfte
both,,plupart,nami,???????,van,eller
brief,,pour,nas,???????,vaya,elva
but,,pourquoi,nasi,??????,gueno,en
by,,quand,nasz,???,ha,enkel
c'mon,,que,nasza,???,tener,enkelt
c's,,quel,nasze,???,tengo,enkla
came,,quelle,natychmiast,???,tiene,enligt
can,,quelles,ni?,???,tenemos,er
can't,,quels,nic,???,teneis,era
cannot,,qui,nich,????,tienen,ert
cant,,sa,nie,????,el,ett
cause,,sans,niego,????,la,ettusen
